id,treatment,fulfillment1q,fulfillment1s1,fulfillment1s2,fulfillment2q,fulfillment2s1,fulfillment2s2,fulfillment3q,fulfillment3s1,fulfillment3s2,fulfillment4q,fulfillment4s1,fulfillment4s2,fulfillment5q,fulfillment5s1,fulfillment5s2,fulfillment6q,fulfillment6s1,fulfillment6s2,justice1q,justice1s1,justice1s2,justice2q,justice2s1,justice2s2,justice3q,justice3s1,justice3s2,justice4q,justice4s1,justice4s2,justice5q,justice5s1,justice5s2,justice6q,justice6s1,justice6s2,control1fulfillment,control1justice,control2,age,gender,income,education,state,space,persons,politics
76,2,,,,,,,,,,,,,,,,,,,3,-5,-1,3,-6.6599998,-2,3,-7.5,-3,1,-2,-2,1,-4,-4,1,-6,-6,,3,3,21,3,650,4,9,,3,3
77,1,3,-8,-.5,3,-8,-2,3,-10,-3,1,-1,-1,1,-3,-3,1,-12,-12,,,,,,,,,,,,,,,,,,,3,,4,24,1,556,5,5,95,2,2
78,2,,,,,,,,,,,,,,,,,,,3,-2,-5,3,-5,-4,3,-6,-4,2,-2,-4,1,-5,-5,1,-5,-5,,3,5,24,1,470,7,9,45,1,3
79,1,3,-5,-1,3,-5,-1,3,-5,-1,1,-5,-5,1,-5,-5,1,-5,-5,,,,,,,,,,,,,,,,,,,3,,4,24,1,560,5,9,120,2,1
80,2,,,,,,,,,,,,,,,,,,,3,2,5,3,1,4,3,-1,5,2,4,3,1,2,2,1,1,1,,3,4,20,3,500,4,9,65,3,4
81,1,3,-2,-1,3,-3,-1,3,-4,-3,2,-1,-2,2,-2,-4,3,-4,-3,,,,,,,,,,,,,,,,,,,3,,4,,1,400,4,9,19,8,2
82,2,,,,,,,,,,,,,,,,,,,3,-7,-2,3,-7,-3,3,-10,-3,2,-1,-4,3,-6,-4,3,-8,-6,,3,3,24,1,450,7,9,56,2,2
83,2,,,,,,,,,,,,,,,,,,,3,-4,-1,3,-5,-2,3,-6,-2,2,-1,-3,2,-3,-4,1,-4,-4,,3,4,20,1,300,4,9,100,3,2
84,1,1,-2.5,-2.5,1,-3,-3,1,-5,-5,2,-1,-8,2,-2,-6,2,-7,-12,,,,,,,,,,,,,,,,,,,3,,4,21,1,673,4,9,11,3,1
85,2,,,,,,,,,,,,,,,,,,,3,-5,-1,3,-7,-2,3,-9,-3,1,-2,-2,1,-4,-4,2,-6,-6,,3,3,22,1,1000,4,9,20,8,1
