id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik
87,13,2026-03-26 10:15:22,2026-03-26 10:27:32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,7.0,1.0,40.0,2.0,78.0,58.0,1.0,2100.0,5.0,6.0,4.0
88,2,2026-03-26 10:16:01,2026-03-26 10:16:01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,13,2026-03-26 10:18:21,2026-03-26 10:22:33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,20.0,40.0,60.0,80.0,7.0,1.0,50.0,1.0,40.0,25.0,3.0,2500.0,7.0,1.0,5.0
90,13,2026-03-26 10:18:37,2026-03-26 10:23:36,3,,,,,,,,,,,,,,,,,,,30.0,90.0,70.0,50.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,7.0,1.0,90.0,3.0,56.0,35.0,3.0,1489.0,3.0,8.0,4.0
91,13,2026-03-26 10:19:24,2026-03-26 12:14:13,2,,,,,,,,,,-100.0,-80.0,-60.0,-40.0,100.0,-20.0,-30.0,-40.0,-50.0,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,60.0,56.0,3.0,1600.0,5.0,13.0,4.0
92,13,2026-03-26 10:19:35,2026-03-26 10:22:48,2,,,,,,,,,,-10.0,-8.0,-5.0,-2.0,0.0,2.0,5.0,10.0,15.0,,,,,,,,,,,,,,,,,,,7.0,1.0,25.0,1.0,54.0,28.0,1.0,2100.0,8.0,10.0,3.0
93,10,2026-03-26 10:22:25,2026-03-26 10:36:52,1,80.0,60.0,40.0,20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
94,10,2026-03-26 10:22:29,2026-03-26 10:25:20,2,,,,,,,,,,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
95,13,2026-03-26 10:23:01,2026-03-26 11:01:05,2,,,,,,,,,,-100.0,-80.0,-50.0,-20.0,0.0,20.0,50.0,80.0,100.0,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,4.0,90.0,39.0,1.0,2000.0,7.0,1.0,4.0
96,13,2026-03-26 10:24:52,2026-03-26 10:34:21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-80.0,-60.0,-50.0,0.0,20.0,50.0,80.0,100.0,7.0,1.0,50.0,2.0,145.0,43.0,1.0,2600.0,5.0,2.0,4.0
97,13,2026-03-26 10:26:35,2026-03-26 10:30:40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,20.0,30.0,40.0,50.0,70.0,85.0,100.0,7.0,1.0,30.0,2.0,92.0,45.0,3.0,2000.0,3.0,1.0,5.0
98,10,2026-03-26 10:26:45,2026-03-26 10:28:43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,49.0,60.0,50.0,50.0,90.0,60.0,40.0,80.0,7.0,0.0,,,,,,,,,
99,6,2026-03-26 10:27:04,2026-03-26 10:27:19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,2026-03-26 10:30:02,2026-03-26 10:30:09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
